date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:11	893/893	---M-Z	200	added ('OK')	text/plain	date:Wed,%2025%20Sep%202024%2007:07:24%20GMT	https://www.facebook.com/robots.txt		(from )
16:30:11	78912/78912	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202024%2014:30:12%20GMT	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/www.facebook.com/login/indexf10a.html	(from )
16:30:14	75677/75677	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202024%2014:30:14%20GMT	https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F&_fb_noscript=1	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/www.facebook.com/login/indexdfce.html	(from https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F)
16:30:14	77330/77330	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202024%2014:30:14%20GMT	https://www.facebook.com/login/web/	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/www.facebook.com/login/web/index.html	(from https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F)
16:30:16	29408/29408	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/GowY3SbJ7Gq.css?_nc_x=Ij3Wp8lg5Kz	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/GowY3SbJ7Gq1f8e.css	(from https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F)
16:30:22	3911/3911	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yB/l/0,cross/n3vvXetINHp.css?_nc_x=Ij3Wp8lg5Kz	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/static.xx.fbcdn.net/rsrc.php/v3/yB/l/0,cross/n3vvXetINHp1f8e.css	(from https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F)
16:30:23	15907/15907	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/CtT34D3GPAM.css?_nc_x=Ij3Wp8lg5Kz	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/CtT34D3GPAM1f8e.css	(from https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F)
16:30:23	22615/22615	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/jxWfICmdhjE.css?_nc_x=Ij3Wp8lg5Kz	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/jxWfICmdhjE1f8e.css	(from https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F)
16:30:25	431292/431292	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/QK4AuJ3bOfR.js?_nc_x=Ij3Wp8lg5Kz	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/static.xx.fbcdn.net/rsrc.php/v3/yb/r/QK4AuJ3bOfR1f8e.js	(from https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F)
16:30:25	72227/72227	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Sep%202024%2014:30:25%20GMT	https://www.facebook.com/login/help/637205020878504	C:/My%20Web%20Sites/https___www.facebook.com_login__next=https%3A%2F%2Fwww.facebook.com%2F/www.facebook.com/login/help/637205020878504	(from https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2F)
